CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192,Species,Sample
1,0,1,1,1,100,0,2,7,3,0,6,2,9,27,2,19,2,3,3,1,2,2,3,0,2,0,2,1,1,1,4,0,0,3,4,1,1,1,1,1,0,HUMAN,EtOH1
1,1,0,0,1,15,0,0,4,0,0,11,0,5,10,2,11,0,3,4,0,1,3,1,0,2,0,2,1,0,0,0,0,0,2,2,0,0,1,2,2,0,HUMAN,EtOH1
0,1,1,0,0,0,0,0,0,0,1,0,0,1,3,1,7,0,0,2,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,HUMAN,EtOH1
0,0,2,0,2,31,1,0,2,0,1,7,0,6,10,4,13,1,1,2,0,0,1,0,0,1,0,3,4,0,0,0,0,1,3,2,1,0,0,0,1,0,HUMAN,EtOH1
1,1,0,3,1,49,0,0,0,2,1,6,0,5,11,2,13,1,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,3,1,0,0,1,2,0,HUMAN,EtOH1
0,0,2,0,3,12,0,0,0,0,0,0,0,1,9,0,7,0,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,HUMAN,EtOH1
1,0,2,0,0,38,0,0,1,0,2,4,0,4,5,3,4,0,0,3,0,0,2,1,0,0,0,1,2,0,1,0,0,0,3,0,0,1,0,0,0,0,HUMAN,EtOH1
0,1,2,0,1,49,2,0,6,1,0,14,0,16,35,10,43,2,3,4,1,1,2,0,2,0,0,6,0,0,0,0,0,3,2,2,0,1,1,1,1,0,HUMAN,EtOH1
3,1,3,0,2,167,1,0,1,3,0,21,3,8,26,5,36,3,0,12,0,1,6,1,0,2,0,6,0,1,0,1,1,1,7,3,0,1,1,3,2,0,HUMAN,EtOH1
1,1,0,0,0,6,1,0,1,0,1,5,0,6,9,0,6,0,1,4,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,3,0,1,0,1,1,0,HUMAN,EtOH1
1,1,2,2,1,51,0,0,2,2,1,5,0,4,9,2,8,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,HUMAN,EtOH1
0,0,2,2,0,17,0,0,8,3,0,4,1,13,12,6,25,0,0,3,0,0,4,1,0,1,0,4,0,0,0,0,0,1,1,0,0,0,2,0,1,1,HUMAN,EtOH1
0,1,0,0,1,5,0,0,3,0,0,3,0,3,5,0,7,0,0,1,1,0,1,0,0,0,0,5,0,0,0,0,0,3,0,2,0,0,0,0,1,0,HUMAN,EtOH1
0,1,0,0,1,14,0,0,1,0,1,2,0,5,4,0,12,0,0,3,0,0,1,1,0,1,0,2,0,0,0,0,0,0,3,0,0,0,1,1,1,1,HUMAN,EtOH1
1,0,0,1,3,23,0,0,1,0,2,3,0,2,5,4,7,2,0,4,0,0,1,3,0,1,0,2,1,0,0,0,0,1,0,1,0,2,0,1,0,0,HUMAN,EtOH1
0,0,2,0,1,7,0,0,0,1,0,2,0,2,5,2,8,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,HUMAN,EtOH1
1,2,1,1,1,48,0,1,8,0,0,4,3,6,12,2,21,0,2,2,0,1,3,1,0,0,0,1,0,0,0,0,0,1,4,1,0,0,3,0,1,1,HUMAN,EtOH1
1,1,1,4,2,14,0,1,3,1,0,6,2,6,19,2,14,1,2,2,1,3,2,1,0,0,0,2,0,1,0,1,1,0,4,0,0,0,0,2,1,0,HUMAN,EtOH1
