,CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192
0,1,0,2,4,0,71,0,2,7,5,0,7,3,25,13,2,22,3,4,0,1,2,4,3,0,3,0,3,1,1,2,5,0,0,6,5,1,2,2,6,2,0
1,1,1,0,0,1,7,0,0,4,0,0,11,0,12,4,2,11,0,4,1,0,1,4,1,0,2,0,2,1,0,0,0,0,0,3,2,0,0,1,6,3,0
2,0,1,1,0,0,0,0,0,0,0,1,0,0,2,2,1,7,0,0,1,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0
3,0,0,3,0,1,20,1,0,2,0,1,8,0,14,4,4,14,1,1,0,0,0,2,0,0,1,0,4,4,0,0,0,0,1,5,2,1,0,0,1,1,0
4,1,2,0,6,1,34,0,0,0,3,1,7,0,13,5,2,14,1,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,6,3,1,0,0,4,3,0
5,0,0,2,0,3,8,0,0,0,0,0,0,0,3,6,0,8,0,4,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,0
6,1,0,3,0,0,28,0,0,1,0,2,5,0,10,2,3,5,0,0,1,0,0,3,1,0,0,0,1,2,0,1,0,0,0,5,0,0,2,0,1,0,0
7,0,2,3,1,0,27,2,0,6,2,0,15,0,35,17,10,45,3,4,1,1,1,4,0,2,0,0,7,0,0,0,0,0,4,4,2,0,2,2,6,2,0
8,4,2,5,2,1,122,1,0,1,5,0,24,5,29,10,5,41,4,0,4,0,1,10,1,0,3,0,8,0,1,0,2,1,2,13,4,0,2,2,13,3,0
9,1,1,0,0,0,3,1,0,1,0,1,5,0,11,5,0,6,0,1,2,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,3,0,1,0,3,1,0
10,1,2,3,5,1,38,0,0,2,3,1,6,0,11,4,2,10,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,1
11,0,0,3,4,0,8,0,0,8,4,0,4,1,23,4,6,25,0,0,1,0,0,5,1,0,1,0,4,0,0,0,0,0,1,2,0,0,0,2,1,1,1
12,0,1,0,0,1,2,0,0,3,0,0,3,0,6,2,0,7,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,3,0,2,0,0,0,0,1,0
13,0,1,0,0,1,8,0,0,1,0,1,2,0,10,1,0,12,0,0,1,0,0,2,1,0,1,0,2,0,0,0,0,0,0,4,0,0,0,1,3,1,1
14,1,0,0,2,2,16,0,0,1,0,2,3,0,6,2,4,8,2,0,2,0,0,2,3,0,1,0,2,1,0,0,0,0,1,0,1,0,3,0,3,0,0
15,0,0,2,0,1,4,0,0,0,1,0,2,0,5,3,2,9,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0
16,1,3,2,3,1,32,0,1,8,0,0,5,4,16,5,2,23,0,3,0,0,1,5,1,0,0,0,1,0,0,0,0,0,1,6,1,0,0,4,1,2,1
